Food,Serving,Calories
Arby’s Grand Turkey Club,1 sandwich (233 g),489 cal
Arby’s Reuben,1 sandwich (308 g),641 cal
Arby’s Roast Beef Classic,1 burger (154 g),360 cal
Arby’s Roast Beef Max,1 burger (154 g),360 cal
BBQ Rib,1 rib (67 g),142 cal
Bean Burrito,1 burrito (190 g),380 cal
Big N’ Tasty,1 sandwich (232 g),517 cal
Bratwurst,1 piece (85 g),283 cal
Burger King Angry Whopper,1 burger (290 g),740 cal
Burger King Double Whopper,1 burger (374 g),894 cal
Burger King Double Whopper with Cheese,1 sandwich (399 g),994 cal
Burger King Original Chicken Sandwich,1 sandwich (219 g),659 cal
Burger King Premium Alaskan Fish Sandwich,1 burger (228 g),591 cal
Burger King Triple Whopper,1 burger (547 g),1471 cal
Burger King Whopper,1 burger (291 g),672 cal
Burger King Whopper Jr.,1 burger (148 g),346 cal
Burger King Whopper with Cheese,1 burger (315 g),759 cal
Cheeseburger,1 burger (156 g),410 cal
Chicken Breast,1 piece (71 g),116 cal
Chicken Fajita,1 sandwich (222 g),326 cal
Chicken McNuggets,1 nugget (16 g),48 cal
Chicken Nuggets,1 piece (20 g),59 cal
Chicken Pizziola,1 sandwich (320 g),451 cal
Chicken Sandwich,1 sandwich (170 g),410 cal
Chicken Teriyaki Sandwich,1 sandwich (266 g),367 cal
Chicken Wings,1 piece (29 g),94 cal
Chop Suey,1 serving (340 g),585 cal
Curly Fries,1 serving (128 g),398 cal
Double Cheeseburger,1 burger (155 g),414 cal
Egg Roll,1 roll (80 g),200 cal
Falafel,1 patty (17 g),57 cal
Filet-o-Fish,1 sandwich (142 g),400 cal
Fish and Chips,1 serving (300 g),585 cal
Fish Sandwich,1 sandwich (158 g),431 cal
French Fries,1 serving (71 g),222 cal
Grilled Chicken Salad,1 salad (305 g),268 cal
Ham Sandwich,1 sandwich (146 g),352 cal
Hamburger,1 sandwich (110 g),279 cal
Hot Dog,1 hot dog (116 g),312 cal
Italian BMT,1 sandwich (224 g),410 cal
Lasagna,1 piece (130 g),172 cal
McDonald’s Big Mac,1 burger (219 g),561 cal
McDonald’s Cheeseburger,1 sandwich (114 g),300 cal
McDonald’s Chicken Nuggets,1 nugget (16 g),48 cal
McDonald’s Double Cheeseburger,1 burger (155 g),437 cal
McDonald’s Filet-o-Fish,1 sandwich (142 g),391 cal
McDonald’s McChicken,1 burger (143 g),359 cal
McDonald’s McDouble,1 burger (160 g),403 cal
McDonald’s McMuffi Egg,1 burger (129 g),290 cal
McDonald’s McRib,1 sandwich (170 g),451 cal
McDonald’s Mighty Wings,1 wing (31 g),95 cal
McRib,1 sandwich (170 g),451 cal
Meatball Sandwich,1 sandwich (299 g),481 cal
Nachos with Cheese,10 nachos (188 g),575 cal
Onion Rings,1 ring (6.5 g),25 cal
Poutine,1 serving (225 g),511 cal
Smoked Salmon,1 oz. (28.35 g),44 cal
Spicy Italian,1 sandwich (219 g),480 cal
Subway Club Sandwich,1 sandwich (238 g),312 cal
Tortilla Wrap,1 wrap (63 g),171 cal
Tuna,1 oz. (28.35 g),24 cal
Turkey,1 oz. (28.35 g),29 cal
Veggie Burger,1 burger (215 g),389 cal
Veggie Delight,1 sandwich (166 g),229 cal
Veggie Patty,1 sandwich (247 g),963 cal
Wendy’s Baconator,1 burger (276 g),839 cal
Wendy’s Jr. Bacon Cheeseburger,1 burger (161 g),420 cal
Wendy’s Jr. Cheeseburger,1 burger (129 g),290 cal
Wendy’s Son of Baconator,1 burger (218 g),700 cal
Whopper,1 burger (291 g),672 cal
Zinger,1 sandwich (202 g),517 cal
Zinger Burger,1 sandwich (202 g),517 cal
